sourceTaxonName	sourceTaxonSpeciesName	sourceTaxonRank	sourceTaxonFamilyName	interactionTypeName	targetTaxonName	targetTaxonSpeciesName	targetTaxonRank	sourceCitation	sourceDOI	referenceDoi	referenceUrl	referenceCitation	sourceTaxonKingdomName	targetTaxonKingdomName
Chlamydia virus CPAR39	Chlamydia virus CPAR39	species	Microviridae	pathogenOf	Chlamydia pneumoniae AR39	Chlamydia pneumoniae		Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016).				Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016). Accessed at <ftp://ftp.genome.jp/pub/db/virushostdb/virushostdb.daily.tsv> on 17 Nov 2021.	Sangervirae	
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Bitis arietans	Bitis arietans	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Chamaeleo dilepis	Chamaeleo dilepis	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Chelonia mydas	Chelonia mydas	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Corallus caninus	Corallus caninus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Equus caballus	Equus caballus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Homo sapiens	Homo sapiens	species	Urban M, Cuzick A, Rutherford K, Irvine A, Pedro H, Pant R, Sadanadan V, Khamari L, Billal S, Mohanty S, Hammond-Kosack KE. PHI-base: a new interface and further additions for the multi-species pathogen-host interactions database. Nucleic Acids Res. 2017 Jan 4;45(D1):D604-D610. doi: 10.1093/nar/gkw1089. Epub 2016 Dec 3. PMID:27915230		10.1111/cmi.12569		Cell Microbiol. 2016 Jan 18		Metazoa
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Homo sapiens	Homo sapiens	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/8967709		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Litoria citropa	Litoria citropa	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Perameles bougainville	Perameles bougainville	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/17314374		
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Phascolarctos cinereus	Phascolarctos cinereus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Potorous gilbertii	Potorous gilbertii	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/20502684		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Python molurus	Python molurus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Xenopus tropicalis	Xenopus tropicalis	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/10756157		Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	pathogenOf	Felis catus	Felis catus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/11597148	Bacteria	Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/21095510	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/20731196	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/20518278	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/19878022	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/20472483	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/310975012	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/18289288	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/13661824	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/17560595	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/12642452	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/17055313	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/17071671	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/5924414	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/4587703	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/16476560	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114159	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/16386022	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114158	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114157	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/15771947	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114156	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/15005450	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114155	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/14658715	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/15948428	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114154	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/12520115	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/16766509	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/2114153	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/11999440	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/1943898	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/20817584	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/11597148	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Felis catus	Felis catus	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/144565	Bacteria	
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	pathogenOf	Homo sapiens	Homo sapiens	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/11597148	Bacteria	Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Homo sapiens	Homo sapiens	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/15682280	Bacteria	Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Homo sapiens	Homo sapiens	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/12177347	Bacteria	Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	hasHost	Homo sapiens	Homo sapiens	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/nuccore/13661822	Bacteria	Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	parasiteOf	Lynx pardinus	Lynx pardinus	species	Stephens, P. R., Pappalardo, P. , Huang, S. , Byers, J. E., Farrell, M. J., Gehman, A. , Ghai, R. R., Haas, S. E., Han, B. , Park, A. W., Schmidt, J. P., Altizer, S. , Ezenwa, V. O. and Nunn, C. L. (2017), Global Mammal Parasite Database version 2.0. Ecology, 98: 1476-1476. doi:10.1002/ecy.1799		10.1002/ecy.1799		Kennedy et al. 2003	Bacteria	Animalia
Kalicephalus subulatus	Kalicephalus subulatus		Diaphanocephalidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/385941ec0-bb1c-4475-8892-dc11ec5757a0	Animalia	Animalia
Linguatula crotali	Linguatula crotali		Polystomatidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/34e343a5e-f577-4b3f-a765-86b6f0d3b2f1	Animalia	Animalia
Linguatula clavata	Linguatula clavata		Polystomatidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3416fe0c5-4c92-4a12-8fcb-557cbd638bfd	Animalia	Animalia
Porocephalus clavatus	Porocephalus clavatus	species	Porocephalidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/340ae15e1-b4d2-4be0-8d52-0b3106e1cbac	Animalia	Animalia
Kalicephalus viperae	Kalicephalus viperae	species	Diaphanocephalidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/31e7b45dd-af8d-4f11-babd-bf00e9796206	Animalia	Animalia
Hastospiculum onchocercum	Hastospiculum onchocercum	species	Diplotriaenidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3095f4679-3034-4a34-8aaa-23fcf9c92a40	Animalia	Animalia
Hastospiculum onchocercum	Hastospiculum onchocercum	species	Diplotriaenidae	hasHost	Boa imperator	Boa imperator	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/300b5797d-7db2-4151-b309-9a1dd1328fe7	Animalia	Animalia
Boa constrictor papillomavirus 1	Boa constrictor papillomavirus 1	species	Papillomaviridae	pathogenOf	Boa imperator	Boa imperator	species	Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016).				Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016). Accessed at <ftp://ftp.genome.jp/pub/db/virushostdb/virushostdb.daily.tsv> on 17 Nov 2021.	Shotokuvirae	Metazoa
Kalicephalus viperae	Kalicephalus viperae	species	Diaphanocephalidae	parasiteOf	Boa imperator	Boa imperator	species	http://invertebrates.si.edu/parasites.htm				cleaned_up.tsv	Animalia	Animalia
Porocephalus clavatus	Porocephalus clavatus	species	Porocephalidae	parasiteOf	Boa imperator	Boa imperator	species	http://invertebrates.si.edu/parasites.htm				cleaned_up.tsv	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Ctenosaura pectinata	Ctenosaura pectinata	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2006. Boa imperator interaction->preyed on Ctenosaura pectinata. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/1141684> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	eats	Ctenosaura similis	Ctenosaura similis	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Will Sweet. 2017. Boa imperator eating Ctenosaura similis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/36465043> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	eats	Ctenosaura similis	Ctenosaura similis	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Will Sweet. 2017. Ctenosaura similis eaten by Boa imperator. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/36631307> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Dasyprocta punctata	Dasyprocta punctata	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Riley Fortier. 2018. Dasyprocta punctata hunted by Boa imperator. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/38326918> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	eats	Dasyprocta punctata	Dasyprocta punctata	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Riley Fortier. 2018. Boa imperator eating Dasyprocta punctata. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/38326917> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Florisuga mellivora	Florisuga mellivora	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Sciurus colliaei	Sciurus colliaei	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2020. Boa imperator interaction->preyed on Sciurus colliaei. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56268070> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Streptopelia decaocto	Streptopelia decaocto	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2021. Boa imperator interaction->preyed on Streptopelia decaocto. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/97831532> on 17 Nov 2021.	Animalia	Animalia
