id,source,target,interaction,citation,doi,reference,referenceDOI,referenceURL
"Apis melliferaCentaurea jacea","Apis mellifera","Centaurea jacea","pollinates","Web of Life. http://www.web-of-life.es .","None","Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","None","None"
"Apis melliferaCentaurea montana","Apis mellifera","Centaurea montana","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Barbara L. Wilson. 2020. Apis mellifera nectar / pollen delivering plant Centaurea montana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64561310> on 17 Nov 2021.","None","None"
"Apis melliferaCentaurea nigra","Apis mellifera","Centaurea nigra","pollinates","Web of Life. http://www.web-of-life.es .","None","Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.","None","None"
"Apis melliferaCentaurea scabiosa","Apis mellifera","Centaurea scabiosa","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaCentaurea solstitialis","Apis mellifera","Centaurea solstitialis","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Anne. 2017. Apis mellifera associated species with names lookup Centaurea solstitialis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/7160630> on 17 Nov 2021.","None","None"
"Apis melliferaCentaurea stoebe","Apis mellifera","Centaurea stoebe","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Sarah Carline. 2020. Apis mellifera nectar plant Centaurea stoebe. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/55141452> on 17 Nov 2021.","None","None"
"Apis melliferaCentranthus ruber","Apis mellifera","Centranthus ruber","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Alexis Babayan. 2019. Apis mellifera nectar plant Centranthus ruber. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/30796993> on 17 Nov 2021.","None","None"
"Apis melliferaCerastium fontanum","Apis mellifera","Cerastium fontanum","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","aarongunnar. 2016. Apis mellifera nectar plant Cerastium fontanum. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/4136234> on 17 Nov 2021.","None","None"
"Apis melliferaChaenomeles japonica","Apis mellifera","Chaenomeles japonica","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Enyo Harlley. 2021. Apis mellifera interaction->visited flower of Chaenomeles japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/79551246> on 17 Nov 2021.","None","None"
"Apis melliferaChenopodium album","Apis mellifera","Chenopodium album","eats","Del Risco, A.A., Montoya, Á.M., García, V. et al. Data synthesis and dynamic visualization converge into a comprehensive biotic interaction network: a case study of the urban and rural areas of Bogotá D.C.. Urban Ecosyst (2021). https://doi.org/10.1007/s11252-021-01133-3","None","Navarro, J.C. (2015) Detección de bacterias productoras de compuestos volátiles asociadas a flores de fresa (Fragaria x ananassa) como posibles atrayentes de abejas polinizadoras (Apis mellifera). B. Sc. Tesis. Universidad Nacional de Colombia, Bogotá D.C.","None","None"
"Apis melliferaChondrilla juncea","Apis mellifera","Chondrilla juncea","pollinates","Web of Life. http://www.web-of-life.es .","None","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.","None","None"
"Apis melliferaCichorium intybus","Apis mellifera","Cichorium intybus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Mia Roberts. 2020. Apis mellifera nectar / pollen delivering plant Cichorium intybus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/53266044> on 17 Nov 2021.","None","None"
"Apis melliferaCirsium arvense","Apis mellifera","Cirsium arvense","pollinates","Web of Life. http://www.web-of-life.es .","None","Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark.","None","None"
"Apis melliferaCirsium eriophorum","Apis mellifera","Cirsium eriophorum","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaCirsium oleraceum","Apis mellifera","Cirsium oleraceum","pollinates","Web of Life. http://www.web-of-life.es .","None","Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","None","None"
"Apis melliferaCirsium vulgare","Apis mellifera","Cirsium vulgare","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Nancy Fox. 2020. Apis mellifera nectar / pollen delivering plant Cirsium vulgare. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56081608> on 17 Nov 2021.","None","None"
"Apis melliferaCitrullus lanatus","Apis mellifera","Citrullus lanatus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","jerr17. 2017. Apis mellifera food source Citrullus lanatus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/8063213> on 17 Nov 2021.","None","None"
"Apis melliferaClematis vitalba","Apis mellifera","Clematis vitalba","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Alessandro Mattedi. 2019. Apis mellifera nectar plant Clematis vitalba. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/30755342> on 17 Nov 2021.","None","None"
"Apis melliferaClethra alnifolia","Apis mellifera","Clethra alnifolia","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","John Beetham. 2020. Apis mellifera nectar plant Clethra alnifolia. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/55949653> on 17 Nov 2021.","None","None"
"Apis melliferaClinopodium nepeta","Apis mellifera","Clinopodium nepeta","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Kate Magoon. 2019. Apis mellifera nectar plant Clinopodium nepeta. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/30076575> on 17 Nov 2021.","None","None"
"Apis melliferaColchicum autumnale","Apis mellifera","Colchicum autumnale","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","gihawi. 2018. Apis mellifera nectar plant Colchicum autumnale. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/38151713> on 17 Nov 2021.","None","None"
"Apis melliferaConium maculatum","Apis mellifera","Conium maculatum","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Ansel Oommen. 2019. Apis mellifera interaction->visited flower of Conium maculatum. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/26659234> on 17 Nov 2021.","None","None"
"Apis melliferaConvolvulus arvensis","Apis mellifera","Convolvulus arvensis","pollinates","Web of Life. http://www.web-of-life.es .","None","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.","None","None"
"Apis melliferaConyza sumatrensis","Apis mellifera","Conyza sumatrensis","pollinates","Classen, Alice; Steffan-Dewenter, Ingolf (2020): Plant-pollinator interactions along an elevational gradient on Mt. Kilimanjaro. PANGAEA, https://doi.org/10.1594/PANGAEA.911390","None","Eardley et al. (2010)","None","None"
"Apis melliferaCoreopsis tinctoria","Apis mellifera","Coreopsis tinctoria","pollinates","United States Geological Survey (USGS) Pollinator Library. https://www.npwrc.usgs.gov/pollinator.","None","Pollinator_Library_Visits_Dataset.tsv","None","None"
"Apis melliferaCoreopsis verticillata","Apis mellifera","Coreopsis verticillata","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Quentin Groom. 2021. Apis mellifera interaction->visited flower of Coreopsis verticillata. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/91392239> on 17 Nov 2021.","None","None"
"Apis melliferaCoriandrum sativum","Apis mellifera","Coriandrum sativum","pollinates","Del Risco, A.A., Montoya, Á.M., García, V. et al. Data synthesis and dynamic visualization converge into a comprehensive biotic interaction network: a case study of the urban and rural areas of Bogotá D.C.. Urban Ecosyst (2021). https://doi.org/10.1007/s11252-021-01133-3","None","Navarro, J.C. (2015) Detección de bacterias productoras de compuestos volátiles asociadas a flores de fresa (Fragaria x ananassa) como posibles atrayentes de abejas polinizadoras (Apis mellifera). B. Sc. Tesis. Universidad Nacional de Colombia, Bogotá D.C.","None","None"
"Apis melliferaCornus mas","Apis mellifera","Cornus mas","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Apis mellifera interaction->visited flower of Cornus mas. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/70087115> on 17 Nov 2021.","None","None"
"Apis melliferaCornus sanguinea","Apis mellifera","Cornus sanguinea","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaCornus sericea","Apis mellifera","Cornus sericea","pollinates","Web of Life. http://www.web-of-life.es .","None","Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contribution from the Biological Laboratory, Kyoto University, 27: 465-521.","None","None"
"Apis melliferaCortaderia selloana","Apis mellifera","Cortaderia selloana","eats","Del Risco, A.A., Montoya, Á.M., García, V. et al. Data synthesis and dynamic visualization converge into a comprehensive biotic interaction network: a case study of the urban and rural areas of Bogotá D.C.. Urban Ecosyst (2021). https://doi.org/10.1007/s11252-021-01133-3","None","Navarro, J.C. (2015) Detección de bacterias productoras de compuestos volátiles asociadas a flores de fresa (Fragaria x ananassa) como posibles atrayentes de abejas polinizadoras (Apis mellifera). B. Sc. Tesis. Universidad Nacional de Colombia, Bogotá D.C.","None","None"
"Apis melliferaCorylus avellana","Apis mellifera","Corylus avellana","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Nicolas Zwahlen. 2016. Apis mellifera feeding on Corylus avellana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/8919885> on 17 Nov 2021.","None","None"
"Apis melliferaCosmos bipinnatus","Apis mellifera","Cosmos bipinnatus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Silverado Jim. 2021. Apis mellifera nectar / pollen delivering plant Cosmos bipinnatus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/98402136> on 17 Nov 2021.","None","None"
"Apis melliferaCotoneaster bullatus","Apis mellifera","Cotoneaster bullatus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaCotoneaster horizontalis","Apis mellifera","Cotoneaster horizontalis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaCotoneaster simonsii","Apis mellifera","Cotoneaster simonsii","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaCrataegus monogyna","Apis mellifera","Crataegus monogyna","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","fausto. 2017. Apis mellifera nectar plant Crataegus monogyna. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/41688810> on 17 Nov 2021.","None","None"
"Apis melliferaCrepis tectorum","Apis mellifera","Crepis tectorum","visitsFlowersOf","LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. J Ecol. 2020; 00: 1– 14. https://doi.org/10.1111/1365-2745.13530 .","None","doi:10.1111/1365-2745.13530","10.1111/1365-2745.13530","None"
"Apis melliferaCrocus chrysanthus","Apis mellifera","Crocus chrysanthus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Kostas Zontanos. 2018. Apis mellifera nectar plant Crocus chrysanthus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/9979920> on 17 Nov 2021.","None","None"
"Apis melliferaCrocus tommasinianus","Apis mellifera","Crocus tommasinianus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Jakob Fahr. 2016. Apis mellifera nectar plant Crocus tommasinianus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/2653667> on 17 Nov 2021.","None","None"
"Apis melliferaCrocus vernus","Apis mellifera","Crocus vernus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","jensu. 2021. Apis mellifera feeding on Crocus vernus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/72608448> on 17 Nov 2021.","None","None"
"Apis melliferaCucumis sativus","Apis mellifera","Cucumis sativus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","miscelena. 2020. Apis mellifera nectar / pollen delivering plant Cucumis sativus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56438130> on 17 Nov 2021.","None","None"
"Apis melliferaCucurbita maxima","Apis mellifera","Cucurbita maxima","pollinates","Del Risco, A.A., Montoya, Á.M., García, V. et al. Data synthesis and dynamic visualization converge into a comprehensive biotic interaction network: a case study of the urban and rural areas of Bogotá D.C.. Urban Ecosyst (2021). https://doi.org/10.1007/s11252-021-01133-3","None","Navarro, J.C. (2015) Detección de bacterias productoras de compuestos volátiles asociadas a flores de fresa (Fragaria x ananassa) como posibles atrayentes de abejas polinizadoras (Apis mellifera). B. Sc. Tesis. Universidad Nacional de Colombia, Bogotá D.C.","None","None"
"Apis melliferaCucurbita pepo","Apis mellifera","Cucurbita pepo","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Jennifer Thomas Bryant. 2017. Apis mellifera nectar / pollen delivering plant Cucurbita pepo. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/7107241> on 17 Nov 2021.","None","None"
"Apis melliferaCynara cardunculus","Apis mellifera","Cynara cardunculus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","sea-kangaroo. 2016. Apis mellifera nectar plant Cynara cardunculus cardunculus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/3494928> on 17 Nov 2021.","None","None"
"Apis melliferaCynoglossum amabile","Apis mellifera","Cynoglossum amabile","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Leeanne. 2019. Apis mellifera nectar / pollen delivering plant Cynoglossum amabile. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/32288000> on 17 Nov 2021.","None","None"
"Apis melliferaCytisus scoparius","Apis mellifera","Cytisus scoparius","pollinates","Web of Life. http://www.web-of-life.es .","None","Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.","None","None"
"Apis melliferaDasiphora fruticosa","Apis mellifera","Dasiphora fruticosa","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Jeffrey Murphy. 2020. Apis mellifera feeding on Dasiphora fruticosa. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/58813725> on 17 Nov 2021.","None","None"
"Apis melliferaDaucus carota","Apis mellifera","Daucus carota","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","KC. 2019. Apis mellifera nectar plant Daucus carota. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/28677619> on 17 Nov 2021.","None","None"
"Apis melliferaDigitalis purpurea","Apis mellifera","Digitalis purpurea","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Robin Gwen Agarwal. 2020. Apis mellifera nectar / pollen delivering plant Digitalis purpurea. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/45309612> on 17 Nov 2021.","None","None"
"Apis melliferaDiplotaxis muralis","Apis mellifera","Diplotaxis muralis","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Joe Bartok. 2021. Apis mellifera nectar plant Diplotaxis muralis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/95029108> on 17 Nov 2021.","None","None"
"Apis melliferaDipsacus laciniatus","Apis mellifera","Dipsacus laciniatus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Erik Attaway. 2017. Apis mellifera nectar plant Dipsacus laciniatus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/7953109> on 17 Nov 2021.","None","None"
"Apis melliferaDittrichia viscosa","Apis mellifera","Dittrichia viscosa","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Tiago Carrapiço. 2020. Apis mellifera interaction->visited flower of Dittrichia viscosa. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/60346790> on 17 Nov 2021.","None","None"
"Apis melliferaEchinops bannaticus","Apis mellifera","Echinops bannaticus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Tig. 2016. Apis mellifera nectar plant Echinops bannaticus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/3947447> on 17 Nov 2021.","None","None"
"Apis melliferaEchium plantagineum","Apis mellifera","Echium plantagineum","pollinates","Web of Life. http://www.web-of-life.es .","None","Olesen unpubl.","None","None"
"Apis melliferaEchium vulgare","Apis mellifera","Echium vulgare","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Don Sutherland. 2017. Apis mellifera nectar plant Echium vulgare. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/6877156> on 17 Nov 2021.","None","None"
"Apis melliferaEichhornia crassipes","Apis mellifera","Eichhornia crassipes","eats","Del Risco, A.A., Montoya, Á.M., García, V. et al. Data synthesis and dynamic visualization converge into a comprehensive biotic interaction network: a case study of the urban and rural areas of Bogotá D.C.. Urban Ecosyst (2021). https://doi.org/10.1007/s11252-021-01133-3","None","Navarro, J.C. (2015) Detección de bacterias productoras de compuestos volátiles asociadas a flores de fresa (Fragaria x ananassa) como posibles atrayentes de abejas polinizadoras (Apis mellifera). B. Sc. Tesis. Universidad Nacional de Colombia, Bogotá D.C.","None","None"
"Apis melliferaElaeagnus angustifolia","Apis mellifera","Elaeagnus angustifolia","hasHost","Carril OM, Griswold T, Haefner J, Wilson JS. (2018) Wild bees of Grand Staircase-Escalante National Monument: richness, abundance, and spatio-temporal beta-diversity. PeerJ 6:e5867 https://doi.org/10.7717/peerj.5867","None","doi:10.7717/peerj.5867/supp-2","10.7717/peerj.5867/supp-2","None"
"Apis melliferaEpilobium ciliatum","Apis mellifera","Epilobium ciliatum","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Alexis Babayan. 2018. Apis mellifera nectar plant Epilobium ciliatum. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/17237375> on 17 Nov 2021.","None","None"
"Apis melliferaEpilobium hirsutum","Apis mellifera","Epilobium hirsutum","pollinates","Web of Life. http://www.web-of-life.es .","None","Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark.","None","None"
"Apis melliferaEpipactis helleborine","Apis mellifera","Epipactis helleborine","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Apis mellifera interaction->visited flower of Epipactis helleborine. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/89610766> on 17 Nov 2021.","None","None"
"Apis melliferaEpipactis palustris","Apis mellifera","Epipactis palustris","pollinates","Food Webs and Species Interactions in the Biodiversity of UK and Ireland (Online). 2017. Data provided by Malcolm Storey. Also available from http://bioinfo.org.uk.","10.5281/zenodo.1419646","Clapham, A.R., Tutin, T.G. & Moore, D.M.. 1985. Flora of the British Isles. Cambridge University Press. 3","None","None"
"Apis melliferaEranthis hyemalis","Apis mellifera","Eranthis hyemalis","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2019. Apis mellifera interaction->visited flower of Eranthis hyemalis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/20365128> on 17 Nov 2021.","None","None"
"Apis melliferaErica carnea","Apis mellifera","Erica carnea","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Ansel Oommen. 2018. Apis mellifera interaction->visited flower of Erica carnea. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/9951915> on 17 Nov 2021.","None","None"
"Apis melliferaErica cinerea","Apis mellifera","Erica cinerea","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"Apis melliferaErica tetralix","Apis mellifera","Erica tetralix","pollinates","Web of Life. http://www.web-of-life.es .","None","Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.","None","None"
"Apis melliferaErigeron canadensis","Apis mellifera","Erigeron canadensis","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Alexis Babayan. 2019. Apis mellifera associated species with names lookup Erigeron canadensis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/35318052> on 17 Nov 2021.","None","None"
"Apis melliferaErigeron karvinskianus","Apis mellifera","Erigeron karvinskianus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","suzie rose. 2017. Apis mellifera nectar / pollen delivering plant Erigeron karvinskianus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/6224130> on 17 Nov 2021.","None","None"
"Apis melliferaEriobotrya japonica","Apis mellifera","Eriobotrya japonica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Steven Kurniawidjaja. 2017. Apis mellifera feeding on Eriobotrya japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/9045796> on 17 Nov 2021.","None","None"
"Apis melliferaErodium cicutarium","Apis mellifera","Erodium cicutarium","pollinates","Web of Life. http://www.web-of-life.es .","None","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.","None","None"
"Apis melliferaEruca vesicaria","Apis mellifera","Eruca vesicaria","pollinates","Web of Life. http://www.web-of-life.es .","None","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.","None","None"
"Apis melliferaErucastrum gallicum","Apis mellifera","Erucastrum gallicum","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","spacevet. 2020. Apis mellifera interaction->visited flower of Erucastrum gallicum. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/60148011> on 17 Nov 2021.","None","None"
"Apis melliferaEryngium campestre","Apis mellifera","Eryngium campestre","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2020. Apis mellifera interaction->visited flower of Eryngium campestre. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/54614859> on 17 Nov 2021.","None","None"
"Apis melliferaEryngium maritimum","Apis mellifera","Eryngium maritimum","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Valentin de Mazancourt. 2020. Apis mellifera pollinates Eryngium maritimum. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/53088018> on 17 Nov 2021.","None","None"
"Apis melliferaErythranthe guttata","Apis mellifera","Erythranthe guttata","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Stacie Wolny. 2018. Apis mellifera nectar plant Erythranthe guttata. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/11856178> on 17 Nov 2021.","None","None"
"Apis melliferaEschscholzia californica","Apis mellifera","Eschscholzia californica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Kim Wagner. 2018. Apis mellifera nectar plant Eschscholzia californica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/12309899> on 17 Nov 2021.","None","None"
"Apis melliferaEuonymus japonicus","Apis mellifera","Euonymus japonicus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Barbara L. Wilson. 2021. Apis mellifera nectar / pollen delivering plant Euonymus japonicus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/82586450> on 17 Nov 2021.","None","None"
"Apis melliferaEupatorium cannabinum","Apis mellifera","Eupatorium cannabinum","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
